1737984338.942204,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984339.0476546,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984339.1459403,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984339.246448,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984339.346813,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984339.4459856,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984339.5465152,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984339.6460683,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984339.7475185,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984339.845858,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984339.9459214,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984340.0446627,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984340.1468256,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984340.246406,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984340.3471687,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984340.4457796,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984340.551035,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984340.650576,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984340.7501378,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984340.8513298,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984340.9511476,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984341.0502546,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984341.1513526,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984341.2499962,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984341.3497317,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984341.449482,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984341.5501475,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984341.6502037,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984341.7499452,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984341.8498862,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984341.9498596,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984342.0554574,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984342.1545346,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984342.2547653,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984342.3545299,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984342.454451,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984342.5547042,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984342.6539855,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984342.7542794,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984342.8554583,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984342.9546442,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984343.0547078,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984343.1552474,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984343.2549384,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984343.3548586,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984343.4577103,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984343.5582318,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984343.659184,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
1737984343.758229,[156 100 100],[176 255 255],[ 31 100 100],[ 51 255 255]
